Nationalities,Year,Kolumna2,Country
Czech,1950,0,Czech Republic
Czech,1951,0,Czech Republic
Czech,1952,0,Czech Republic
Czech,1953,0,Czech Republic
Czech,1954,0,Czech Republic
Czech,1955,0,Czech Republic
Czech,1956,0,Czech Republic
Czech,1957,0,Czech Republic
Czech,1958,0,Czech Republic
Czech,1959,0,Czech Republic
Czech,1960,0,Czech Republic
Czech,1961,0,Czech Republic
Czech,1962,0,Czech Republic
Czech,1963,0,Czech Republic
Czech,1964,0,Czech Republic
Czech,1965,0,Czech Republic
Czech,1966,0,Czech Republic
Czech,1967,0,Czech Republic
Czech,1968,0,Czech Republic
Czech,1969,0,Czech Republic
Czech,1970,0,Czech Republic
Czech,1971,0,Czech Republic
Czech,1972,0,Czech Republic
Czech,1973,0,Czech Republic
Czech,1974,0,Czech Republic
Czech,1975,0,Czech Republic
Czech,1976,0,Czech Republic
Czech,1977,0,Czech Republic
Czech,1978,0,Czech Republic
