Nationalities,Year,Liczba Kierowców,Country
Dutch,2017,17,Netherlands
Dutch,2018,17,Netherlands
Dutch,2019,17,Netherlands
Dutch,2020,17,Netherlands
Dutch,2021,17,Netherlands
Dutch,2022,17,Netherlands
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Finnish,1974,1,Finland
Finnish,1975,1,Finland
Finnish,1976,1,Finland
Finnish,1977,2,Finland
Finnish,1978,3,Finland
Finnish,1979,3,Finland
Finnish,1980,3,Finland
Finnish,1981,3,Finland
Finnish,1982,3,Finland
Finnish,1983,3,Finland
Finnish,1984,3,Finland
Finnish,1985,3,Finland
Finnish,1986,3,Finland
Finnish,1987,3,Finland
Finnish,1988,3,Finland
Finnish,1989,4,Finland
Finnish,1990,4,Finland
Finnish,1991,5,Finland
Finnish,1992,5,Finland
Finnish,1993,5,Finland
Finnish,1994,6,Finland
Finnish,1995,6,Finland
Finnish,1996,6,Finland
Finnish,1997,6,Finland
Finnish,1998,6,Finland
Finnish,1999,6,Finland
Finnish,2000,6,Finland
Finnish,2001,7,Finland
Finnish,2002,7,Finland
Finnish,2003,7,Finland
Finnish,2004,7,Finland
Finnish,2005,7,Finland
Finnish,2006,7,Finland
Finnish,2007,8,Finland
Finnish,2008,8,Finland
Finnish,2009,8,Finland
Finnish,2010,8,Finland
Finnish,2011,8,Finland
Finnish,2012,8,Finland
Finnish,2013,9,Finland
Finnish,2014,9,Finland
Finnish,2015,9,Finland
Finnish,2016,9,Finland
Finnish,2017,9,Finland
Finnish,2018,9,Finland
Finnish,2019,9,Finland
Finnish,2020,9,Finland
Finnish,2021,9,Finland
Finnish,2022,9,Finland
French,1950,12,France
French,1951,15,France
French,1952,18,France
French,1953,18,France
French,1954,20,France
French,1955,22,France
French,1956,22,France
French,1957,22,France
French,1958,25,France
French,1959,26,France
French,1960,26,France
French,1961,27,France
French,1962,27,France
French,1963,27,France
French,1964,27,France
French,1965,27,France
French,1966,28,France
French,1967,31,France
French,1968,32,France
French,1969,32,France
French,1970,33,France
French,1971,36,France
French,1972,38,France
French,1973,38,France
French,1974,42,France
French,1975,43,France
French,1976,43,France
French,1977,44,France
French,1978,46,France
French,1979,47,France
French,1980,48,France
French,1981,48,France
French,1982,48,France
French,1983,49,France
French,1984,52,France
French,1985,52,France
French,1986,52,France
French,1987,54,France
French,1988,55,France
French,1989,58,France
French,1990,58,France
French,1991,59,France
French,1992,60,France
French,1993,61,France
French,1994,63,France
French,1995,64,France
French,1996,64,France
French,1997,64,France
French,1998,64,France
French,1999,65,France
French,2000,65,France
French,2001,65,France
French,2002,65,France
French,2003,65,France
French,2004,65,France
French,2005,65,France
French,2006,66,France
French,2007,66,France
French,2008,67,France
French,2009,68,France
French,2010,68,France
French,2011,68,France
French,2012,70,France
French,2013,71,France
French,2014,71,France
French,2015,71,France
French,2016,72,France
French,2017,73,France
French,2018,73,France
French,2019,73,France
French,2020,73,France
French,2021,73,France
French,2022,73,France
German,1950,1,Germany
